,day,idx,omit,reward_zone_end,reward_zone_start,swap_type,swap_zone_end,swap_zone_start,trial,trial_type,animal,hdb_labels,HMM_label
24,5,GCAMP7_5_24,False,370,320,swap_proximal,250.0,200.0,24,pre_swap,GCAMP7,64,1
25,5,GCAMP7_5_25,False,370,320,swap_proximal,250.0,200.0,25,pre_swap,GCAMP7,1,2
26,5,GCAMP7_5_26,False,370,320,swap_proximal,250.0,200.0,26,pre_swap,GCAMP7,96,2
27,5,GCAMP7_5_27,False,370,320,swap_proximal,250.0,200.0,27,pre_swap,GCAMP7,91,2
28,5,GCAMP7_5_28,False,370,320,swap_proximal,250.0,200.0,28,pre_swap,GCAMP7,-1,2
29,5,GCAMP7_5_29,False,370,320,swap_proximal,250.0,200.0,29,pre_swap,GCAMP7,36,1
30,5,GCAMP7_5_30,False,250,200,swap_proximal,370.0,320.0,30,post_swap,GCAMP7,78,6
31,5,GCAMP7_5_31,False,250,200,swap_proximal,370.0,320.0,31,post_swap,GCAMP7,85,10
32,5,GCAMP7_5_32,False,250,200,swap_proximal,370.0,320.0,32,post_swap,GCAMP7,78,10
33,5,GCAMP7_5_33,False,250,200,swap_proximal,370.0,320.0,33,post_swap,GCAMP7,86,10
34,5,GCAMP7_5_34,False,250,200,swap_proximal,370.0,320.0,34,post_swap,GCAMP7,79,6
35,5,GCAMP7_5_35,False,250,200,swap_proximal,370.0,320.0,35,post_swap,GCAMP7,78,6
36,5,GCAMP7_5_36,False,250,200,swap_proximal,370.0,320.0,36,post_swap,GCAMP7,86,10
37,5,GCAMP7_5_37,False,250,200,swap_proximal,370.0,320.0,37,post_swap,GCAMP7,79,6
38,5,GCAMP7_5_38,False,250,200,swap_proximal,370.0,320.0,38,post_swap,GCAMP7,85,10
39,5,GCAMP7_5_39,False,250,200,swap_proximal,370.0,320.0,39,post_swap,GCAMP7,52,10
40,5,GCAMP7_5_40,True,250,200,swap_proximal,370.0,320.0,40,post_swap,GCAMP7,60,6
41,5,GCAMP7_5_41,False,250,200,swap_proximal,370.0,320.0,41,post_swap,GCAMP7,85,10
42,5,GCAMP7_5_42,False,250,200,swap_proximal,370.0,320.0,42,post_swap,GCAMP7,52,5
43,5,GCAMP7_5_43,True,250,200,swap_proximal,370.0,320.0,43,post_swap,GCAMP7,79,6
44,5,GCAMP7_5_44,False,250,200,swap_proximal,370.0,320.0,44,post_swap,GCAMP7,85,10
45,5,GCAMP7_5_45,False,250,200,swap_proximal,370.0,320.0,45,post_swap,GCAMP7,9,4
46,5,GCAMP7_5_46,False,250,200,swap_proximal,370.0,320.0,46,post_swap,GCAMP7,52,5
47,5,GCAMP7_5_47,False,250,200,swap_proximal,370.0,320.0,47,post_swap,GCAMP7,60,6
48,5,GCAMP7_5_48,False,250,200,swap_proximal,370.0,320.0,48,post_swap,GCAMP7,52,5
49,5,GCAMP7_5_49,False,250,200,swap_proximal,370.0,320.0,49,post_swap,GCAMP7,-1,6
50,5,GCAMP7_5_50,False,250,200,swap_proximal,370.0,320.0,50,post_swap,GCAMP7,85,10
51,5,GCAMP7_5_51,False,250,200,swap_proximal,370.0,320.0,51,post_swap,GCAMP7,85,10
52,5,GCAMP7_5_52,False,250,200,swap_proximal,370.0,320.0,52,post_swap,GCAMP7,83,10
53,5,GCAMP7_5_53,False,250,200,swap_proximal,370.0,320.0,53,post_swap,GCAMP7,86,10
54,5,GCAMP7_5_54,False,250,200,swap_proximal,370.0,320.0,54,post_swap,GCAMP7,85,10
55,5,GCAMP7_5_55,False,250,200,swap_proximal,370.0,320.0,55,post_swap,GCAMP7,85,10
56,5,GCAMP7_5_56,False,250,200,swap_proximal,370.0,320.0,56,post_swap,GCAMP7,86,10
57,5,GCAMP7_5_57,True,250,200,swap_proximal,370.0,320.0,57,post_swap,GCAMP7,86,10
58,5,GCAMP7_5_58,False,250,200,swap_proximal,370.0,320.0,58,post_swap,GCAMP7,85,10
59,5,GCAMP7_5_59,True,250,200,swap_proximal,370.0,320.0,59,post_swap,GCAMP7,78,10
60,5,GCAMP7_5_60,False,250,200,swap_proximal,370.0,320.0,60,post_swap,GCAMP7,85,10
61,5,GCAMP7_5_61,False,250,200,swap_proximal,370.0,320.0,61,post_swap,GCAMP7,85,10
62,5,GCAMP7_5_62,True,250,200,swap_proximal,370.0,320.0,62,post_swap,GCAMP7,86,10
63,5,GCAMP7_5_63,False,250,200,swap_proximal,370.0,320.0,63,post_swap,GCAMP7,52,5
64,5,GCAMP7_5_64,False,250,200,swap_proximal,370.0,320.0,64,post_swap,GCAMP7,52,5
65,5,GCAMP7_5_65,False,250,200,swap_proximal,370.0,320.0,65,post_swap,GCAMP7,4,1
66,5,GCAMP7_5_66,False,250,200,swap_proximal,370.0,320.0,66,post_swap,GCAMP7,-1,6
67,5,GCAMP7_5_67,False,250,200,swap_proximal,370.0,320.0,67,post_swap,GCAMP7,52,5
68,5,GCAMP7_5_68,False,250,200,swap_proximal,370.0,320.0,68,post_swap,GCAMP7,53,10
69,5,GCAMP7_5_69,False,250,200,swap_proximal,370.0,320.0,69,post_swap,GCAMP7,78,6
70,5,GCAMP7_5_70,False,250,200,swap_proximal,370.0,320.0,70,post_swap,GCAMP7,85,10
71,5,GCAMP7_5_71,False,250,200,swap_proximal,370.0,320.0,71,post_swap,GCAMP7,83,5
72,5,GCAMP7_5_72,True,250,200,swap_proximal,370.0,320.0,72,post_swap,GCAMP7,78,10
73,5,GCAMP7_5_73,False,250,200,swap_proximal,370.0,320.0,73,post_swap,GCAMP7,85,10
74,5,GCAMP7_5_74,False,250,200,swap_proximal,370.0,320.0,74,post_swap,GCAMP7,78,10
75,5,GCAMP7_5_75,False,250,200,swap_proximal,370.0,320.0,75,post_swap,GCAMP7,83,5
76,5,GCAMP7_5_76,False,250,200,swap_proximal,370.0,320.0,76,post_swap,GCAMP7,83,10
77,5,GCAMP7_5_77,True,250,200,swap_proximal,370.0,320.0,77,post_swap,GCAMP7,86,10
78,5,GCAMP7_5_78,True,250,200,swap_proximal,370.0,320.0,78,post_swap,GCAMP7,86,10
79,5,GCAMP7_5_79,False,250,200,swap_proximal,370.0,320.0,79,post_swap,GCAMP7,83,10
0,7,GCAMP7_7_0,True,250,200,swap_proximal,130.0,80.0,0,pre_swap,GCAMP7,86,10
1,7,GCAMP7_7_1,False,250,200,swap_proximal,130.0,80.0,1,pre_swap,GCAMP7,17,5
2,7,GCAMP7_7_2,False,250,200,swap_proximal,130.0,80.0,2,pre_swap,GCAMP7,52,5
3,7,GCAMP7_7_3,False,250,200,swap_proximal,130.0,80.0,3,pre_swap,GCAMP7,52,5
4,7,GCAMP7_7_4,False,250,200,swap_proximal,130.0,80.0,4,pre_swap,GCAMP7,83,9
5,7,GCAMP7_7_5,False,250,200,swap_proximal,130.0,80.0,5,pre_swap,GCAMP7,51,5
6,7,GCAMP7_7_6,False,250,200,swap_proximal,130.0,80.0,6,pre_swap,GCAMP7,83,5
7,7,GCAMP7_7_7,False,250,200,swap_proximal,130.0,80.0,7,pre_swap,GCAMP7,51,5
8,7,GCAMP7_7_8,False,250,200,swap_proximal,130.0,80.0,8,pre_swap,GCAMP7,52,5
9,7,GCAMP7_7_9,False,250,200,swap_proximal,130.0,80.0,9,pre_swap,GCAMP7,82,5
10,7,GCAMP7_7_10,False,250,200,swap_proximal,130.0,80.0,10,pre_swap,GCAMP7,83,9
11,7,GCAMP7_7_11,False,250,200,swap_proximal,130.0,80.0,11,pre_swap,GCAMP7,17,5
12,7,GCAMP7_7_12,False,250,200,swap_proximal,130.0,80.0,12,pre_swap,GCAMP7,52,5
13,7,GCAMP7_7_13,False,250,200,swap_proximal,130.0,80.0,13,pre_swap,GCAMP7,4,5
14,7,GCAMP7_7_14,False,250,200,swap_proximal,130.0,80.0,14,pre_swap,GCAMP7,83,5
15,7,GCAMP7_7_15,False,250,200,swap_proximal,130.0,80.0,15,pre_swap,GCAMP7,17,5
16,7,GCAMP7_7_16,False,250,200,swap_proximal,130.0,80.0,16,pre_swap,GCAMP7,52,5
17,7,GCAMP7_7_17,False,250,200,swap_proximal,130.0,80.0,17,pre_swap,GCAMP7,82,5
18,7,GCAMP7_7_18,False,250,200,swap_proximal,130.0,80.0,18,pre_swap,GCAMP7,52,5
19,7,GCAMP7_7_19,True,250,200,swap_proximal,130.0,80.0,19,pre_swap,GCAMP7,86,10
20,7,GCAMP7_7_20,False,250,200,swap_proximal,130.0,80.0,20,pre_swap,GCAMP7,53,1
21,7,GCAMP7_7_21,False,250,200,swap_proximal,130.0,80.0,21,pre_swap,GCAMP7,83,9
22,7,GCAMP7_7_22,True,250,200,swap_proximal,130.0,80.0,22,pre_swap,GCAMP7,78,6
23,7,GCAMP7_7_23,True,250,200,swap_proximal,130.0,80.0,23,pre_swap,GCAMP7,78,6
24,7,GCAMP7_7_24,False,250,200,swap_proximal,130.0,80.0,24,pre_swap,GCAMP7,52,5
25,7,GCAMP7_7_25,True,250,200,swap_proximal,130.0,80.0,25,pre_swap,GCAMP7,78,6
26,7,GCAMP7_7_26,False,250,200,swap_proximal,130.0,80.0,26,pre_swap,GCAMP7,4,4
27,7,GCAMP7_7_27,False,250,200,swap_proximal,130.0,80.0,27,pre_swap,GCAMP7,52,5
28,7,GCAMP7_7_28,False,250,200,swap_proximal,130.0,80.0,28,pre_swap,GCAMP7,52,5
29,7,GCAMP7_7_29,False,250,200,swap_proximal,130.0,80.0,29,pre_swap,GCAMP7,52,5
30,7,GCAMP7_7_30,False,130,80,swap_proximal,250.0,200.0,30,post_swap,GCAMP7,79,6
31,7,GCAMP7_7_31,False,130,80,swap_proximal,250.0,200.0,31,post_swap,GCAMP7,48,8
32,7,GCAMP7_7_32,False,130,80,swap_proximal,250.0,200.0,32,post_swap,GCAMP7,48,8
33,7,GCAMP7_7_33,False,130,80,swap_proximal,250.0,200.0,33,post_swap,GCAMP7,40,7
34,7,GCAMP7_7_34,False,130,80,swap_proximal,250.0,200.0,34,post_swap,GCAMP7,72,7
35,7,GCAMP7_7_35,False,130,80,swap_proximal,250.0,200.0,35,post_swap,GCAMP7,39,7
36,7,GCAMP7_7_36,False,130,80,swap_proximal,250.0,200.0,36,post_swap,GCAMP7,72,8
37,7,GCAMP7_7_37,False,130,80,swap_proximal,250.0,200.0,37,post_swap,GCAMP7,48,8
38,7,GCAMP7_7_38,False,130,80,swap_proximal,250.0,200.0,38,post_swap,GCAMP7,48,8
39,7,GCAMP7_7_39,False,130,80,swap_proximal,250.0,200.0,39,post_swap,GCAMP7,48,8
40,7,GCAMP7_7_40,False,130,80,swap_proximal,250.0,200.0,40,post_swap,GCAMP7,48,8
41,7,GCAMP7_7_41,False,130,80,swap_proximal,250.0,200.0,41,post_swap,GCAMP7,86,10
42,7,GCAMP7_7_42,False,130,80,swap_proximal,250.0,200.0,42,post_swap,GCAMP7,48,8
43,7,GCAMP7_7_43,False,130,80,swap_proximal,250.0,200.0,43,post_swap,GCAMP7,86,10
